u_centreline,y
-0.000000000000000000e+00,0.000000000000000000e+00
3.174568132281828381e-02,5.000000000000000278e-02
5.812568283671266933e-02,1.000000000000000056e-01
8.127734300099938303e-02,1.500000000000000222e-01
1.026042186108267057e-01,2.000000000000000111e-01
1.229351051721544602e-01,2.500000000000000000e-01
1.425945529617886343e-01,3.000000000000000444e-01
1.614037617615295128e-01,3.500000000000000333e-01
1.786264350698602010e-01,4.000000000000000222e-01
1.928710302320535697e-01,4.500000000000000111e-01
2.019612236538704531e-01,5.000000000000000000e-01
2.027924721615041448e-01,5.500000000000000444e-01
1.912065003243234862e-01,6.000000000000000888e-01
1.619391566196723697e-01,6.500000000000000222e-01
1.087297041834416056e-01,7.000000000000000666e-01
2.471377048531312945e-02,7.500000000000000000e-01
-9.676329327574194339e-02,8.000000000000000444e-01
-2.608220322439084304e-01,8.500000000000000888e-01
-4.692851602070667871e-01,9.000000000000000222e-01
-7.188562885121363433e-01,9.500000000000000666e-01
-1.000000000000000000e+00,1.000000000000000000e+00
