x,R0,x,R100,x,R400
0.50292,0.02043,0.50276,0.02163,0.51029,0.0187
0.50946,0.04241,0.5086,0.04234,0.52195,0.0383
0.51618,0.06354,0.51549,0.06415,0.532,0.05886
0.52359,0.08496,0.52263,0.08574,0.54307,0.0785
0.52981,0.10612,0.52943,0.10683,0.55449,0.09778
0.53387,0.12888,0.53569,0.12795,0.56511,0.11705
0.53771,0.15151,0.54115,0.15045,0.575,0.13656
0.54204,0.17347,0.54605,0.17185,0.58488,0.15632
0.54711,0.19597,0.55274,0.19417,0.59656,0.17529
0.5525,0.21707,0.55948,0.21532,0.60813,0.19565
0.55854,0.23831,0.56486,0.23698,0.616,0.21617
0.56398,0.26069,0.56976,0.25908,0.62544,0.23618
0.56735,0.28339,0.57602,0.28095,0.63571,0.25631
0.56957,0.30418,0.58251,0.30252,0.63993,0.27881
0.57234,0.32653,0.58762,0.3234,0.64167,0.30078
0.57721,0.34836,0.59096,0.34572,0.64198,0.32355
0.58286,0.37025,0.59501,0.36791,0.63822,0.34459
0.58668,0.39237,0.59847,0.39011,0.6302,0.36608
0.59141,0.41501,0.6,0.41283,0.61946,0.38671
0.59716,0.43642,0.60099,0.43571,0.60983,0.40662
0.60096,0.45839,0.60235,0.45707,0.60118,0.42619
0.60263,0.48096,0.60313,0.47947,0.58926,0.44589
0.6031,0.50401,0.60203,0.50184,0.57791,0.46452
0.60294,0.52595,0.59896,0.52524,0.56776,0.48556
0.60259,0.54899,0.59384,0.54653,0.55981,0.50546
0.60211,0.57138,0.58644,0.56797,0.54905,0.52565
0.59933,0.59288,0.57856,0.58819,0.5362,0.54405
0.59375,0.61467,0.57026,0.61001,0.52482,0.56318
0.58727,0.63614,0.5619,0.63,0.51437,0.58362
0.58009,0.65823,0.55149,0.64983,0.50479,0.6032
0.5711,0.67817,0.54098,0.67004,0.49414,0.62326
0.55828,0.69591,0.53226,0.69028,0.48302,0.64254
0.54365,0.71315,0.51995,0.7094,0.47247,0.66204
0.53018,0.73187,0.50574,0.72575,0.46197,0.68162
0.51629,0.7492,0.49096,0.74336,0.45068,0.70154
0.50137,0.76474,0.47834,0.76193,0.43936,0.72116
0.48456,0.78009,0.46459,0.77858,0.42869,0.74026
0.46701,0.79345,0.44827,0.79498,0.41792,0.76114
0.4483,0.80654,0.4338,0.81134,0.40848,0.78069
0.43096,0.81872,0.41919,0.82879,0.39988,0.80044
0.41297,0.83169,0.40328,0.84444,0.39137,0.82185
0.39405,0.84443,0.38603,0.85754,0.38257,0.84194
0.37502,0.85548,0.36769,0.86913,0.37218,0.863
0.35564,0.86547,0.34807,0.88002,0.36143,0.8827
0.33564,0.87496,0.3284,0.89037,0.34922,0.90072
0.31551,0.88399,0.30835,0.90135,0.33297,0.91555
0.29511,0.89302,0.28975,0.91162,0.31492,0.92759
0.27431,0.9024,0.26985,0.92138,0.29562,0.93901
0.25496,0.91103,0.2484,0.92941,0.27666,0.94984
0.23468,0.91943,0.22819,0.93592,0.25537,0.95639
0.21288,0.92733,0.2067,0.94289,0.23343,0.96193
0.19292,0.93424,0.18634,0.94946,0.21207,0.96711
0.17167,0.94246,0.16459,0.9566,0.19022,0.97188
0.15213,0.95051,0.1442,0.96401,0.16983,0.97794
0.13156,0.95877,0.12348,0.97145,0.14866,0.98359
0.11053,0.968,0.10142,0.97647,0.12697,0.98843
0.09084,0.978,0.07985,0.98106,0.10575,0.99374
0.07045,0.98643,0.05961,0.9875,0.0842,0.99812
0.04959,0.99185,0.03851,0.99454,0.06235,1.00128
0.02751,0.99668,0.01746,1.00015,0.04035,1.00279
0.00587,1.00145,0.0033,1.00115,0.01818,1.00229
0.00219,1.00226,,,0.00108,1.00226
