x,Re=100,x,Re=400
-0.02535,0.01256,-0.01632,0.01969
-0.04703,0.02456,-0.02971,0.03906
-0.06878,0.03811,-0.04242,0.0584
-0.09032,0.0534,-0.0544,0.07728
-0.109,0.06767,-0.06663,0.09773
-0.12829,0.08267,-0.07788,0.11778
-0.14805,0.09969,-0.08881,0.13768
-0.16533,0.11697,-0.09951,0.15688
-0.18075,0.13319,-0.11014,0.17706
-0.19676,0.15126,-0.12105,0.19888
-0.21053,0.17102,-0.13032,0.21808
-0.22055,0.19065,-0.14003,0.23906
-0.22924,0.21267,-0.14937,0.25927
-0.23368,0.23358,-0.15942,0.28072
-0.23279,0.25481,-0.16813,0.30012
-0.22656,0.27635,-0.17644,0.3208
-0.21718,0.29694,-0.18422,0.34244
-0.20745,0.31723,-0.19166,0.3636
-0.19453,0.33612,-0.19879,0.38335
-0.18052,0.35453,-0.20623,0.40545
-0.16318,0.37169,-0.20975,0.42727
-0.14723,0.38945,-0.21124,0.44848
-0.13028,0.40606,-0.21323,0.47089
-0.1152,0.42448,-0.21354,0.49228
-0.09966,0.44169,-0.20923,0.51327
-0.08331,0.45996,-0.20232,0.53501
-0.06991,0.47855,-0.19595,0.55563
-0.05329,0.4955,-0.18734,0.577
-0.03878,0.51527,-0.17706,0.59771
-0.02677,0.53391,-0.16516,0.61708
-0.01412,0.55471,-0.1513,0.63518
-0.00196,0.57315,-0.13678,0.65409
0.01014,0.59384,-0.12107,0.67193
0.02046,0.61354,-0.10434,0.68916
0.02986,0.63302,-0.08756,0.70617
0.03988,0.65378,-0.06967,0.72334
0.04984,0.67408,-0.05038,0.7386
0.05877,0.69561,-0.02925,0.75271
0.06833,0.71658,-0.00811,0.7656
0.07494,0.73697,0.01429,0.7792
0.08329,0.75777,0.03593,0.79144
0.09542,0.77652,0.05967,0.80354
0.10488,0.79851,0.08137,0.81547
0.11472,0.81848,0.1054,0.82689
0.12796,0.8386,0.12944,0.83436
0.14107,0.85676,0.15411,0.84345
0.15764,0.87287,0.17962,0.85367
0.17862,0.88723,0.20406,0.86191
0.20244,0.89869,0.2303,0.87035
0.22438,0.90974,0.25495,0.87728
0.25103,0.91629,0.28136,0.88305
0.27748,0.92137,0.307,0.88931
0.30327,0.92803,0.33354,0.8962
0.32945,0.93328,0.36106,0.90191
0.35654,0.93837,0.38637,0.9067
0.38356,0.94304,0.41238,0.91167
0.41028,0.94677,0.43867,0.9167
0.43833,0.95009,0.46463,0.9213
0.46289,0.95242,0.49176,0.92583
0.49077,0.95472,0.51894,0.93024
0.51856,0.95787,0.54643,0.93474
0.54461,0.96062,0.57176,0.93906
0.57123,0.96278,0.59909,0.94401
0.59778,0.96598,0.62654,0.94903
0.62544,0.97018,0.65192,0.95335
0.65312,0.97288,0.67818,0.95757
0.67977,0.97453,0.70506,0.96174
0.70729,0.97706,0.73175,0.9656
0.73404,0.97996,0.75935,0.96885
0.76082,0.98251,0.78675,0.9713
0.7874,0.98438,0.81349,0.97465
0.81509,0.98619,0.83861,0.97923
0.84198,0.98896,0.86569,0.98393
0.86789,0.99247,0.89353,0.98731
0.89548,0.99365,0.91951,0.99059
0.92162,0.99341,0.94602,0.99481
0.949,0.99649,0.97276,0.99827
0.9768,0.99868,1.0001,1.00085
1.00105,1.00017,,
