y,u_centreline
1,1
1,0.8
1,0.7
1,0.5
0.9,0.4
0.9,0.3
0.9,0.3
0.9,0.2
0.9,0.2
0.9,0.2
0.9,0.2
0.9,0.1
0.8,0.1
0.8,0.1
0.8,0.1
0.8,0.1
0.8,0.1
0.8,0.1
0.8,0.09
0.8,0.08
0.8,0.08
0.7,0.07
0.7,0.07
0.7,0.06
0.7,0.06
0.7,0.05
0.7,0.05
0.7,0.04
0.6,0.04
0.6,0.03
0.6,0.02
0.6,0.02
0.6,0.01
0.6,0.005
0.6,-0.003
0.6,-0.01
0.6,-0.02
0.5,-0.03
0.5,-0.03
0.5,-0.04
0.5,-0.05
0.5,-0.06
0.5,-0.07
0.5,-0.08
0.4,-0.09
0.4,-0.1
0.4,-0.1
0.4,-0.1
0.4,-0.1
0.4,-0.1
0.4,-0.2
0.4,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.2,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.2
0.1,-0.1
0.09,-0.1
0.07,-0.1
0.06,-0.1
0.05,-0.08
0.04,-0.06
0.02,-0.05
0.01,-0.02
0,0
